Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,4,0,0
Person,0,0,9,0,0
Person,0,0,14,0,0
Person,0,0,20,0,0
Person,0,0,27,0,0
Person,0,0,32,0,0
Person,0,0,37,0,0
Person,0,0,42,0,0
Person,0,0,47,0,0
Activation,0,0,52,1,0
Person,0,0,53,1,0
Activation,0,0,55,2,0
Activation,0,0,57,3,0
Person,0,0,58,3,0
Activation,0,1,0,4,0
Person,0,1,3,5,0
Activation,0,1,3,5,0
Person,0,1,8,5,0
Activation,0,1,10,6,0
Person,0,1,13,6,0
Person,0,1,18,6,0
Activation,0,1,21,7,0
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,3,0,0
Person,0,0,9,0,0
Person,0,0,15,0,0
Person,0,0,19,0,0
Person,0,0,25,0,0
Activation,0,0,25,1,0
Person,0,0,30,1,0
Person,0,0,37,1,0
Activation,0,0,40,2,0
Person,0,0,44,2,0
Person,0,0,49,2,0
Activation,0,0,52,3,0
Person,0,0,54,3,0
Activation,0,0,58,4,0
Person,0,0,59,4,0
Activation,0,1,3,5,0
Person,0,1,4,5,0
Activation,0,1,8,6,0
Person,0,1,9,6,0
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
